DEBUG 2018-12-03 19:49:45,233 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpLearning.Sessions.Dto.UserLoginInfoDto
DEBUG 2018-12-03 19:49:45,233 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpLearning.Roles.Dto.CreateRoleDto
DEBUG 2018-12-03 19:49:45,233 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpLearning.Roles.Dto.PermissionDto
DEBUG 2018-12-03 19:49:45,234 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpLearning.Roles.Dto.RoleDto
DEBUG 2018-12-03 19:49:45,234 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpLearning.MultiTenancy.Dto.CreateTenantDto
DEBUG 2018-12-03 19:49:45,234 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpLearning.MultiTenancy.Dto.TenantDto
INFO  2018-12-03 19:49:48,681 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2018-12-03 19:49:49,617 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action AbpLearning.Web.Host.Controllers.HomeController.Index (AbpLearning.Web.Host)
INFO  2018-12-03 19:49:49,919 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method AbpLearning.Web.Host.Controllers.HomeController.Index (AbpLearning.Web.Host) - Validation state: Valid
INFO  2018-12-03 19:49:49,922 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method AbpLearning.Web.Host.Controllers.HomeController.Index (AbpLearning.Web.Host), returned result Microsoft.AspNetCore.Mvc.RedirectResult in 1.6877ms.
INFO  2018-12-03 19:49:50,085 [16   ] vc.Infrastructure.RedirectResultExecutor - Executing RedirectResult, redirecting to /swagger.
INFO  2018-12-03 19:49:50,094 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action AbpLearning.Web.Host.Controllers.HomeController.Index (AbpLearning.Web.Host) in 474.0095ms
INFO  2018-12-03 19:49:50,143 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1467.0497ms 302 
INFO  2018-12-03 19:49:50,144 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger  
INFO  2018-12-03 19:49:50,152 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 7.5102ms 301 
INFO  2018-12-03 19:49:50,155 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/index.html  
INFO  2018-12-03 19:49:50,179 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 24.1047ms 200 text/html
INFO  2018-12-03 19:49:50,192 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui.css  
INFO  2018-12-03 19:49:50,192 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui-bundle.js  
INFO  2018-12-03 19:49:50,194 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/ui/abp.swagger.js  
INFO  2018-12-03 19:49:50,194 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/ui/abp.js  
INFO  2018-12-03 19:49:50,194 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui-standalone-preset.js  
INFO  2018-12-03 19:49:50,236 [15   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger/ui/abp.swagger.js'. Physical path: 'F:\Documents\Abp Project\AbpLearning\aspnetcore\abplearning-aspnet-core\src\AbpLearning.Web.Host\wwwroot\swagger\ui\abp.swagger.js'
INFO  2018-12-03 19:49:50,236 [18   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger/ui/abp.js'. Physical path: 'F:\Documents\Abp Project\AbpLearning\aspnetcore\abplearning-aspnet-core\src\AbpLearning.Web.Host\wwwroot\swagger\ui\abp.js'
INFO  2018-12-03 19:49:50,236 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 42.7417ms 200 application/javascript
INFO  2018-12-03 19:49:50,236 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 42.7176ms 200 application/javascript
INFO  2018-12-03 19:49:50,245 [18   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A'
INFO  2018-12-03 19:49:50,248 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 56.0576ms 200 text/css
INFO  2018-12-03 19:49:50,248 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A'
INFO  2018-12-03 19:49:50,248 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 54.9011ms 200 application/javascript
INFO  2018-12-03 19:49:50,265 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A'
INFO  2018-12-03 19:49:50,266 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 73.3158ms 200 application/javascript
INFO  2018-12-03 19:49:50,642 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/v1/swagger.json  
INFO  2018-12-03 19:49:50,683 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/favicon-32x32.png  
INFO  2018-12-03 19:49:50,685 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A'
INFO  2018-12-03 19:49:50,685 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.876ms 200 image/png
INFO  2018-12-03 19:49:50,727 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/favicon-16x16.png  
